id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Harbor,Marina Vale,folk,nostalgic,0.51,96,0.68,0.57,0.74
12,Golden Skyline,The Brass Line,disco,playful,0.88,124,0.79,0.90,0.12
13,Midnight Sonata,Elara Quinn,classical,serene,0.29,76,0.62,0.32,0.95
14,Concrete Glow,Northside Crew,hip hop,confident,0.84,108,0.73,0.82,0.16
15,Wildflower Road,Hazel & Reed,country,heartfelt,0.58,100,0.69,0.55,0.67
16,Sunset Pulse,Ari Sol,r&b,romantic,0.67,98,0.74,0.71,0.41
